,Custom_Difference,Matched_Rows
"('VT21', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",73.48509072742479,69004
"('VT22', '20180222-57OOooVH-VT__R8F11_RN1RP3')",73.4969506422872,67277
"('VT21', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",73.72265949481951,68867
"('VT27', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",73.82933955460159,69532
"('VT21', '20180222-57WIooVL-VT__R6F18_RN1RP2')",73.95758440665675,67845
"('VT27', '20180222-57OOooVH-VT__R7F3_RN1RP1')",73.96032329803512,66849
"('VT25', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",73.9931583059363,69051
"('VT25', '20180222-57OOooVH-VT__R8F11_RN1RP3')",74.03137184972978,66815
"('VT27', '20180222-57OOooVH-VT__R8F11_RN1RP3')",74.07988068188233,66785
"('VT24', '20180222-57NYooVH-VT__R7F2_RN1RP3')",74.2054340946123,68201
"('VT24', '20180222-57OOooVH-VT__R7F3_RN1RP1')",74.21607368627076,66110
"('VT19', '20180222-57WIooVL-VT__R6F19_RN1RP3')",74.30498417429288,67517
"('VT21', '20180222-57WIooVL-VT__R6F19_RN1RP3')",74.30565556358697,67484
"('VT29', '20180222-57WIooVH-VT__R6F15_RN1RP2')",74.30641075424276,62557
"('VT29', '20180222-57NYooVH-VT__R6F20_RN1RP1')",74.33114469137797,63416
"('VT21', '20180222-57WIooVH-VT__R6F14_RN1RP1')",74.48058334304922,68290
"('VT23', '20180222-57OOooVH-VT__R7F3_RN1RP1')",74.61236164242774,65944
"('VT26', '20180222-57NYooVH-VT__R7F2_RN1RP3')",74.69078014711222,67759
"('VT26', '20180222-57OOooVH-VT__R7F3_RN1RP1')",74.69979057195695,65578
"('VT22', '20180222-57WIooVL-VT__R6F19_RN1RP3')",74.76768522604345,67577
"('VT23', '20180222-57NYooVH-VT__R7F2_RN1RP3')",74.81830795740207,68024
"('VT20', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",74.91709324049415,70444
"('VT22', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",74.9274889551801,69360
"('VT19', '20180222-57OOooVH-VT__R8F11_RN1RP3')",75.11879738907692,67226
"('VT20', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",75.24131954284498,70817
"('VT20', '20180222-57OOooVH-VT__R8F11_RN1RP3')",75.30650352419768,68778
"('VT20', '20180222-57OOooVH-VT__R7F3_RN1RP1')",75.42253693322671,68808
"('VT27', '20180222-57WIooVL-VT__R6F19_RN1RP3')",75.69236047007534,67226
"('VT27', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",75.93130214877218,68996
