,Positive,Negative,Proportion
"('VT15', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76574,2138,0.9728376867567843
"('VT14', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",76568,2144,0.9727614594979165
"('VT17', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76567,2145,0.9727487549547719
"('VT10', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76566,2146,0.9727360504116273
"('VT15', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",76566,2146,0.9727360504116273
"('VT17', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76566,2146,0.9727360504116273
"('VT4', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76565,2147,0.9727233458684825
"('VT12', '20180222-24WIooVH-VG__R9F1_RN1RP3')",76565,2147,0.9727233458684825
"('VT17', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76564,2148,0.9727106413253379
"('VT17', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76562,2150,0.9726852322390487
"('VT15', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",76562,2150,0.9726852322390487
"('VT17', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76561,2151,0.9726725276959041
"('VT4', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76559,2153,0.9726471186096148
"('VT10', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",76559,2153,0.9726471186096148
"('VT4', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76558,2154,0.9726344140664702
"('VT17', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76556,2156,0.9726090049801809
"('VT10', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",76556,2156,0.9726090049801809
"('VT17', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76555,2157,0.9725963004370363
"('VT11', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76554,2158,0.9725835958938917
"('VT17', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76554,2158,0.9725835958938917
"('VT15', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",76554,2158,0.9725835958938917
"('VT5', '20180222-24WIooVH-VG__R5F11_RN1RP2')",76553,2159,0.972570891350747
"('VT14', '20180222-24WIooVH-VG__R9F1_RN1RP3')",76553,2159,0.972570891350747
"('VT10', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",76550,2162,0.9725327777213132
"('VT15', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",76546,2166,0.9724819595487346
"('VT11', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",76545,2167,0.97246925500559
"('VT11', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",76545,2167,0.97246925500559
"('VT17', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76544,2168,0.9724565504624454
"('VT10', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",76542,2170,0.9724311413761562
"('VT15', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",76541,2171,0.9724184368330114
"('VT5', '20180222-24WIooVH-VG__R5F10_RN1RP1')",76541,2171,0.9724184368330114
"('VT10', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",76536,2176,0.9723549141172884
"('VT11', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",76536,2176,0.9723549141172884
"('VT11', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",76532,2180,0.9723040959447098
"('VT16', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76530,2182,0.9722786868584206
"('VT11', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",76526,2186,0.9722278686858421
"('VT15', '20180222-24WIooVH-VG__R9F1_RN1RP3')",76526,2186,0.9722278686858421
"('VT16', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76524,2188,0.9722024595995528
"('VT16', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76524,2188,0.9722024595995528
"('VT12', '20180222-24WIooVH-VG__R5F11_RN1RP2')",76520,2192,0.9721516414269743
"('VT17', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76520,2192,0.9721516414269743
"('VT13', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76520,2192,0.9721516414269743
"('VT10', '20180222-24WIooVH-VG__R9F1_RN1RP3')",76519,2193,0.9721389368838297
"('VT13', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76517,2195,0.9721135277975405
"('VT13', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76516,2196,0.9721008232543957
"('VT4', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76515,2197,0.9720881187112511
"('VT13', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76514,2198,0.9720754141681065
