,Positive,Negative,Proportion
"('VT14', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2104,0.0
"('VT14', '20180222-24WIooVH-VG__R9F1_RN1RP3')",0,2175,0.0
"('VT14', '20180222-24WIooVH-VG__R5F11_RN1RP2')",0,2221,0.0
"('VT14', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",0,2304,0.0
"('VT14', '20180222-24NYooVH-VG__R9F8_RN1RP3')",0,2087,0.0
"('VT14', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",0,2128,0.0
"('VT15', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",0,2179,0.0
"('VT15', '20180222-70OOooVH-VT__R7F4_RN1RP3')",0,33543,0.0
"('VT15', '20180222-24NYooVH-VG__R9F6_RN1RP2')",0,2111,0.0
"('VT8', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1980,0.0
"('VT7', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,2568,0.0
"('VT16', '20180222-24OOooVH-VG__R9F10_RN1RP2')",0,2462,0.0
"('VT16', '20180222-71OOooPA-VV__R5F1_RN1RP1')",0,2254,0.0
"('VT17', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",0,2234,0.0
"('VT17', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",0,2222,0.0
"('VT17', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2158,0.0
"('VT17', '20180222-24NYooVH-VG__R9F6_RN1RP2')",0,2160,0.0
"('VT17', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2169,0.0
"('VT17', '20180222-24OOooVH-VG__R9F10_RN1RP2')",0,2168,0.0
"('VT17', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2163,0.0
"('VT17', '20180222-71OOooPA-VV__R5F1_RN1RP1')",0,1959,0.0
"('VT17', '20180222-71OOooPA-VV__R5F2_RN1RP2')",0,1965,0.0
"('VT17', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,1969,0.0
"('VT9', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,1978,0.0
"('VT17', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1914,0.0
"('VT17', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,1914,0.0
"('VT17', '20180222-24WIooVL-VG__R9F2_RN1RP1')",0,2170,0.0
"('VT17', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2157,0.0
"('VT17', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2180,0.0
"('VT17', '20180222-24WIooVH-VG__R9F1_RN1RP3')",0,2251,0.0
"('VT7', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2835,0.0
"('VT7', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2812,0.0
"('VT17', '20180222-24WIooVH-VG__R5F10_RN1RP1')",0,2308,0.0
